127.0.0.1 - - [05/Sep/2018:14:07:41 +0900] "GET / HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [05/Sep/2018:14:07:44 +0900] "GET /sample-web/ HTTP/1.1" 200 701
0:0:0:0:0:0:0:1 - - [05/Sep/2018:14:07:44 +0900] "GET /sample-web/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2018:14:07:44 +0900] "GET /sample-web/js/smoothscroll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2018:14:07:47 +0900] "GET /sample-web/HomeAction HTTP/1.1" 200 9429
0:0:0:0:0:0:0:1 - - [05/Sep/2018:14:08:17 +0900] "GET /sample-web/ HTTP/1.1" 200 701
0:0:0:0:0:0:0:1 - - [05/Sep/2018:14:08:18 +0900] "GET /sample-web/HomeAction HTTP/1.1" 200 2588
0:0:0:0:0:0:0:1 - - [05/Sep/2018:14:08:18 +0900] "GET /sample-web/js/smoothscroll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2018:14:08:18 +0900] "GET /sample-web/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Sep/2018:14:08:18 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [05/Sep/2018:14:08:36 +0900] "POST /sample-web/GoLoginAction HTTP/1.1" 200 4588
0:0:0:0:0:0:0:1 - - [05/Sep/2018:14:08:36 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [05/Sep/2018:14:08:38 +0900] "POST /sample-web/CreateUserAction.action HTTP/1.1" 200 4804
0:0:0:0:0:0:0:1 - - [05/Sep/2018:14:08:38 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [05/Sep/2018:14:08:51 +0900] "POST /sample-web/SearchItemAction HTTP/1.1" 200 5719
0:0:0:0:0:0:0:1 - - [05/Sep/2018:14:08:51 +0900] "GET /sample-web/images/sample.jpg HTTP/1.1" 200 1168307
